Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Transfer
Cáp Treo Hòn Thơm,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/79/e3/dc/sun-world-hon-thom-nature.jpg?w=900&h=600&s=1,"Cáp treo đi Hòn Thơm là điểm cộng trong chuyến đi du lịch Phú Quốc.
Nó là hệ thống cáp treo rất hiện đại.
Giá vé đi và về là 600k cho một khách.
Không gian trong cabin rất sạch sẽ",Số 1 trong 16 hoạt động giải trí tại An Thoi,https://www.tripadvisor.com.vn/Attraction_Review-g12520037-d13563044-Reviews-Hon_Thom_Cable_Car-An_Thoi_Phu_Quoc_Island_Kien_Giang_Province.html
Khu du lịch Fansipan Legend,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8d/6d/ae/20181126-154630-largejpg.jpg?w=800&h=500&s=1,cảnh rất đẹp hùng vĩ thời tiết nắng đẹp mình đã chụp đc rất nhiều ảnh. một chuyến đi ý nghĩa đến sapa phải đến fansipang,Số 4 trong 48 hoạt động giải trí tại Sapa,https://www.tripadvisor.com.vn/Attraction_Review-g311304-d9861921-Reviews-Sun_World_Fansipan_Legend-Sapa_Lao_Cai_Province.html
Ba Na Cable Car,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/58/fc/12/photo2jpg.jpg?w=800&h=500&s=1,"Đã đi cáp treo bà nà rất nhiều lần, từ những ngày đầu mở cửa Bà Nà. Cảm giác đi cáp treo trên không vẫn rất thích.",Số 2 trong 106 hoạt động giải trí tại Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d12912951-Reviews-Ba_Na_Cable_Car-Da_Nang.html
Lotus Train,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/79/fe/76/our-own-train-attendant.jpg?w=800&h=500&s=1,"This was such a great highlight of the holiday. We boarded at Hanoi about 8pm. We were a family of 5 so we booked a 4 and a 2 berth. The cabins were clean and comfortable and there was snacks and breakfast box for the morning. We brought our own noodles for dinner as there was a hot water tap at the end of the corridor. 2 loos snd sink which were spotlessly clean. Complimentary beer, wine and soft drinks. Charging points next to bed. Had a good night sleep and woke up to the beautiful coast line. The whole booking process was very easy and I really would recommend this train service as s great way to travel from the north to central Vietnam.",Số 19 trong 306 hoạt động giải trí tại Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17558598-Reviews-Lotus_Train-Hanoi.html
Tàu Cao Tốc Greenlines,-1,4.0,"01A Trần Phú Phường 1, Vũng Tàu 790000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/72/f3/de/catamaran-ferry-double.jpg?w=800&h=500&s=1,"Đặc biệt, biểu diễn diều nghệ thuật quốc tế diễn ra từ 14h-18h ngày 28/8 là một sự kiện ấn tượng để khép lại Festival, du khách đến với lễ hội được chứng kiến cuộc đua của những con diều đủ màu sắc sặc sỡ. Hoặc được trở về tuổi thơ với trải nghiệm thả diều trên bãi biển.",Số 4 trong 43 hoạt động giải trí tại Vũng Tàu,https://www.tripadvisor.com.vn/Attraction_Review-g303946-d12374392-Reviews-GreenlinesDP_Fast_Ferry-Vung_Tau_Ba_Ria_Vung_Tau_Province.html
Hanoi Transport Service,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b2/1f/c4/hanoi-transport-service.jpg?w=800&h=500&s=1,"Good service
Nhan viên nhiệt tình, thân thien
Khách sạn sạch se, thoáng mát, mat mẹ
Sẽ quay lại vào lần toi",Số 8 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11898757-Reviews-Hanoi_Transport_Service-Hanoi.html
Da Lat Cable Car - Robin Hill,-1,4.5,"Phường 3 Đồi Robin, Đà Lạt 670000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a1/cb/84/the-city-view-from-robin.jpg?w=800&h=500&s=1,"上到Robin Hill 欖車站，可眺望大叻市景，Tuyen Lam Lake，VND100k / way around 10mins，VND120k / return way
景色怡人，但只是短程，相對其他越南景點收費，我覺得單程是較貴。",Số 19 trong 59 hoạt động giải trí tại Đà Lạt,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d15334345-Reviews-Da_Lat_Cable_Car_Robin_Hill-Da_Lat_Lam_Dong_Province.html
Hang Chau Tourist,-1,4.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/82/37/be/die-boote.jpg?w=800&h=500&s=1,"Una pratica soluzione per raggiungere la Cambogia dal sud del Vietnam
Circa 5 ore di navigazione sul Mekong con due soste alle rispettive frontiere per controllo passaporti, tassa e visto ingresso
Alle frontiere ci sono panche e bar per attesa disbrigo formalità e possibilità cambio valute
In battello viene offerto una merenda in sacchetto
Personale disponibile",Số 2 trong 20 hoạt động giải trí tại Châu Đốc,https://www.tripadvisor.com.vn/Attraction_Review-g311303-d8095588-Reviews-Hang_Chau_Tourist-Chau_Doc_An_Giang_Province.html
Da Nang Car Rental,-1,5.0,"86 Trần Văn Du Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/ca/1c/jm-da-nang-car-rental.jpg?w=800&h=500&s=1,"Tuyêt vời với tính thần trách nhiệm cao, xe sạch và.tài xế nhiệt tình .cảm ơn công ty đã sắp xếp cho chuyến công tác thành công tốt đẹp",Số 3 trên 215 Phương tiện giao thông ở Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d12292804-Reviews-Da_Nang_Car_Rental-Da_Nang.html
Booking Car,-1,5.0,"Số 2 Ngõ 8/19/13 Tổ 1, Phủ Đỗ , Nam Từ Liêm, Hà Nội 10000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/af/3c/booking-car-private-transfer.jpg?w=800&h=500&s=1,"I was in communication with two other transport companies before reaching out to Booking Car. They promised me a great experience, but getting actual confirmation was so difficult! These other companies required additional steps in which Booking Car did not. Overall I just did one quick call, they asked me to confirm text the details (which I preferred because the language barrier as an English speaker can be rough at time with Vietnamese) and I was situated!

Paid the driver upon arrival, he was 10 minutes early and I was at the airport early. 10/10 wouldn't call anyone else!",Số 27 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8611006-Reviews-Booking_Car-Hanoi.html
